,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karratha,AU,2021-03-27 00:09:50,-20.7377,116.8463,82.78,65,0,4.45,clear sky
1,Bonthe,SL,2021-03-27 00:09:51,7.5264,-12.505,78.39,89,5,5.08,clear sky
2,Hasaki,JP,2021-03-27 00:09:51,35.7333,140.8333,54.0,58,40,3.44,scattered clouds
3,Bulolo,PG,2021-03-27 00:09:52,-7.2,146.65,83.08,66,95,3.36,overcast clouds
4,Cape Town,ZA,2021-03-27 00:06:05,-33.9258,18.4232,63.0,94,75,9.22,light rain
5,Ilulissat,GL,2021-03-27 00:09:53,69.2167,-51.1,-13.0,48,10,7.29,clear sky
6,Avera,US,2021-03-27 00:09:53,33.194,-82.5271,68.0,94,90,4.97,mist
7,Kapaa,US,2021-03-27 00:09:53,22.0752,-159.319,80.01,78,75,9.22,light rain
8,Constitucion,CL,2021-03-27 00:09:05,-35.3333,-72.4167,57.94,74,0,11.7,clear sky
9,Victoria,HK,2021-03-27 00:07:09,22.2855,114.1577,73.0,86,100,10.45,overcast clouds
10,Manavalakurichi,IN,2021-03-27 00:09:55,8.1333,77.3,82.4,78,40,7.18,mist
11,Port Alfred,ZA,2021-03-27 00:09:55,-33.5906,26.891,69.37,84,86,24.2,overcast clouds
12,Thompson,CA,2021-03-27 00:09:55,55.7435,-97.8558,24.8,80,90,14.97,snow
13,Katherine,AU,2021-03-27 00:09:56,-14.4667,132.2667,86.0,70,100,3.44,overcast clouds
14,Lagodekhi,GE,2021-03-27 00:09:56,41.8268,46.2767,44.6,76,75,4.61,broken clouds
15,Dikson,RU,2021-03-27 00:09:57,73.5069,80.5464,-13.72,100,100,10.0,overcast clouds
16,Narsaq,GL,2021-03-27 00:09:57,60.9167,-46.05,5.0,51,20,9.22,few clouds
17,Trinidad,BO,2021-03-27 00:09:58,-14.8333,-64.9,82.4,83,40,4.61,scattered clouds
18,Bathsheba,BB,2021-03-27 00:09:58,13.2167,-59.5167,77.0,65,40,21.85,scattered clouds
19,Puerto Ayora,EC,2021-03-27 00:09:58,-0.7393,-90.3518,80.01,86,67,5.99,broken clouds
20,Barrow,US,2021-03-27 00:09:59,71.2906,-156.7887,-9.4,70,1,3.44,clear sky
21,Carutapera,BR,2021-03-27 00:09:59,-1.195,-46.02,73.24,95,100,1.81,overcast clouds
22,Vaini,TO,2021-03-27 00:09:59,-21.2,-175.2,84.2,74,40,10.36,light rain
