,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2021-03-29 22:12:02,-46.1927,168.8643,57.0,97,100,1.01,overcast clouds
1,Punta Arenas,CL,2021-03-29 22:12:03,-53.15,-70.9167,48.2,93,75,3.44,broken clouds
2,Ponta Delgada,PT,2021-03-29 22:12:03,37.7333,-25.6667,60.8,88,40,12.66,scattered clouds
3,Fortuna,US,2021-03-29 22:12:03,40.5982,-124.1573,55.99,43,1,20.71,clear sky
4,Timmins,CA,2021-03-29 22:07:34,48.4669,-81.3331,33.8,51,90,13.8,overcast clouds
5,Bay Roberts,CA,2021-03-29 22:12:04,47.5999,-53.2648,41.0,93,100,7.0,moderate rain
6,Sorong,ID,2021-03-29 22:12:04,-0.8833,131.25,78.48,84,91,6.06,overcast clouds
7,Bambous Virieux,MU,2021-03-29 22:12:05,-20.3428,57.7575,75.99,88,20,6.91,few clouds
8,Puerto Ayora,EC,2021-03-29 22:12:05,-0.7393,-90.3518,82.4,78,20,10.36,few clouds
9,Kapaa,US,2021-03-29 22:12:05,22.0752,-159.319,77.0,73,75,13.8,light rain
10,Rikitea,PF,2021-03-29 22:12:06,-23.1203,-134.9692,79.03,68,11,15.05,few clouds
11,Bethel,US,2021-03-29 22:10:27,41.3712,-73.414,53.6,24,1,8.05,clear sky
12,Bluff,NZ,2021-03-29 22:12:06,-46.6,168.3333,57.0,97,100,1.01,overcast clouds
13,Ermoupolis,GR,2021-03-29 22:12:07,37.4423,24.9425,59.0,77,22,13.8,few clouds
14,Hobart,AU,2021-03-29 22:08:17,-42.8794,147.3294,55.4,62,0,5.75,clear sky
15,Jaque,PA,2021-03-29 22:12:07,7.5175,-78.1703,81.66,82,63,1.59,moderate rain
16,Medvedka,RU,2021-03-29 22:12:08,61.1629,46.387,28.74,92,20,7.72,few clouds
17,Ushuaia,AR,2021-03-29 22:07:36,-54.8,-68.3,51.8,66,20,4.61,few clouds
18,Banda Aceh,ID,2021-03-29 22:12:08,5.5577,95.3222,78.3,83,100,10.76,moderate rain
19,Bredasdorp,ZA,2021-03-29 22:12:09,-34.5322,20.0403,51.8,100,43,1.14,scattered clouds
20,Severo-Kurilsk,RU,2021-03-29 22:12:09,50.6789,156.125,35.56,96,100,20.92,moderate rain
21,Cape Town,ZA,2021-03-29 22:12:09,-33.9258,18.4232,64.0,72,0,4.61,clear sky
22,Victoria,HK,2021-03-29 22:08:52,22.2855,114.1577,78.01,86,25,6.89,scattered clouds
23,Karratha,AU,2021-03-29 22:12:10,-20.7377,116.8463,87.78,43,55,6.2,broken clouds
24,Talnakh,RU,2021-03-29 22:07:27,69.4865,88.3972,-24.84,99,27,2.21,scattered clouds
25,Atuona,PF,2021-03-29 22:12:10,-9.8,-139.0333,80.49,79,28,18.79,scattered clouds
26,Port-Gentil,GA,2021-03-29 22:12:11,-0.7193,8.7815,78.8,94,40,3.8,scattered clouds
27,Provideniya,RU,2021-03-29 22:12:11,64.3833,-173.3,21.2,73,90,8.95,overcast clouds
28,Broome,US,2021-03-29 22:12:12,42.2506,-75.833,45.0,45,1,12.66,clear sky
29,Vallenar,CL,2021-03-29 22:12:12,-28.5708,-70.7581,75.78,37,0,5.57,clear sky
30,Butaritari,KI,2021-03-29 22:12:12,3.0707,172.7902,81.3,79,24,14.09,few clouds
31,San Policarpo,PH,2021-03-29 22:12:13,12.1791,125.5072,79.95,81,100,10.33,overcast clouds
32,Busselton,AU,2021-03-29 22:12:13,-33.65,115.3333,66.0,94,13,1.01,few clouds
33,Olinda,BR,2021-03-29 22:12:11,-8.0089,-34.8553,80.6,74,75,6.91,broken clouds
34,Bandarbeyla,SO,2021-03-29 22:12:13,9.4942,50.8122,77.85,68,100,6.62,overcast clouds
35,Lebu,CL,2021-03-29 22:12:14,-37.6167,-73.65,59.68,82,8,2.8,clear sky
36,Qaanaaq,GL,2021-03-29 22:12:14,77.484,-69.3632,-14.21,68,44,7.54,scattered clouds
37,Kruisfontein,ZA,2021-03-29 22:12:15,-34.0033,24.7314,66.99,83,24,5.01,few clouds
38,Albany,US,2021-03-29 22:07:45,42.6001,-73.9662,44.01,34,2,3.0,clear sky
39,Clyde River,CA,2021-03-29 22:12:15,70.4692,-68.5914,-7.6,84,75,14.97,broken clouds
40,Chipinge,ZW,2021-03-29 22:12:15,-20.1883,32.6236,55.9,92,5,4.0,clear sky
41,Cockburn Town,TC,2021-03-29 22:08:10,21.4612,-71.1419,82.4,69,40,16.11,scattered clouds
42,Arraial Do Cabo,BR,2021-03-29 22:12:16,-22.9661,-42.0278,84.2,83,40,6.91,scattered clouds
43,Nikolskoye,RU,2021-03-29 22:12:16,59.7035,30.7861,43.0,70,90,8.95,moderate rain
44,Zhigansk,RU,2021-03-29 22:12:17,66.7697,123.3711,16.34,97,100,6.71,overcast clouds
45,Nanortalik,GL,2021-03-29 22:12:18,60.1432,-45.2371,27.43,56,66,3.87,broken clouds
46,Castro,BR,2021-03-29 22:12:18,-24.7911,-50.0119,63.93,93,72,5.32,broken clouds
47,Saint-Philippe,RE,2021-03-29 22:12:19,-21.3585,55.7679,77.0,78,0,6.91,clear sky
48,Thompson,CA,2021-03-29 22:12:19,55.7435,-97.8558,10.4,85,90,23.02,snow
49,Villamartin,ES,2021-03-29 22:12:19,36.8598,-5.6449,64.99,52,0,5.75,clear sky
