,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Karratha,AU,82.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
1,Bonthe,SL,78.39,clear sky,7.5264,-12.505,Bonthe Holiday Village
3,Bulolo,PG,83.08,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
4,Cape Town,ZA,63.0,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Kapaa,US,80.01,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
10,Manavalakurichi,IN,82.4,mist,8.1333,77.3,Udaya Boys Hostel
11,Port Alfred,ZA,69.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
13,Katherine,AU,86.0,overcast clouds,-14.4667,132.2667,Pine Tree Motel
17,Trinidad,BO,82.4,scattered clouds,-14.8333,-64.9,Hotel Piesta
18,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
19,Puerto Ayora,EC,80.01,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Carutapera,BR,73.24,overcast clouds,-1.195,-46.02,Lidera
22,Vaini,TO,84.2,light rain,-21.2,-175.2,Keleti Beach Resort
23,Bredasdorp,ZA,64.4,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
25,Sur,OM,78.12,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
30,Sao Filipe,CV,70.52,few clouds,14.8961,-24.4956,Tortuga B&B
32,Castro,BR,64.76,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
33,Jieshi,CN,71.01,overcast clouds,22.8134,115.8257,Yuehai Hotel
35,Rikitea,PF,79.0,light rain,-23.1203,-134.9692,Pension Maro'i
36,Biak,ID,74.37,overcast clouds,-0.9131,122.8766,Penginapan Kim
37,Rawson,AR,60.3,clear sky,-43.3002,-65.1023,Hosteria Sampedro
39,Saint George,US,60.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
40,Ca Mau,VN,81.64,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
41,Punta,PH,80.76,overcast clouds,8.9897,125.34,Vyjannex boarding house
43,West Bay,KY,82.4,few clouds,19.3667,-81.4167,Calypso Cove
45,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
46,Gariaband,IN,69.4,clear sky,20.635,82.0614,हंसराज ट्रैक्टर
47,Huicheng,CN,64.4,scattered clouds,23.0385,116.2899,Huilai Hotel
49,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Atuona,PF,80.92,scattered clouds,-9.8,-139.0333,Villa Enata
51,Tanete,ID,78.49,light rain,-3.9443,119.7848,Wisma Tri Multi
53,Harper,LR,78.3,clear sky,4.375,-7.7169,Screensaver
54,Kruisfontein,ZA,64.0,few clouds,-34.0033,24.7314,Oyster Bay House Rental
55,Butaritari,KI,81.77,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,Lompoc,US,61.0,few clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
60,Hobart,AU,60.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
64,Luganville,VU,84.63,broken clouds,-15.5333,167.1667,The Espiritu Hotel
67,Hithadhoo,MV,82.42,broken clouds,-0.6,73.0833,Scoop Guest House
68,San Cristobal,VE,71.6,fog,7.7669,-72.225,Posada Villaven C.A.
70,Tuatapere,NZ,60.76,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
71,Ponta Do Sol,PT,64.4,scattered clouds,32.6667,-17.1,Hotel do Campo
72,Numan,NG,82.83,overcast clouds,9.4667,12.0333,Zangun Motel
73,Faanui,PF,82.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,San Policarpo,PH,81.07,broken clouds,12.1791,125.5072,JM Lodge
76,Sumbe,AO,76.3,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
82,Calama,CL,64.4,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
83,Wodonga,AU,63.0,broken clouds,-36.1167,146.8833,The Hume Inn Motel
85,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
86,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
88,Nanakuli,US,80.6,overcast clouds,21.3906,-158.1547,Camp Pālehua
89,Mecca,SA,70.9,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
91,Chuy,UY,67.78,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
93,Ahipara,NZ,70.09,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
94,Mataura,NZ,61.32,light rain,-46.1927,168.8643,Ellie's Villa
95,New Norfolk,AU,60.01,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
96,Dicabisagan,PH,79.0,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
97,Broken Hill,AU,66.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
99,Timbiras,BR,73.0,moderate rain,-4.2553,-43.9406,Casa jaboatao Guimarães
102,Manthani,IN,78.37,clear sky,18.65,79.6667,Social Welfare Boys Hostel
103,Moroni,KM,80.29,few clouds,-11.7022,43.2551,Hotel les Arcades
104,Port Blair,IN,82.27,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
105,Tezu,IN,68.04,clear sky,27.9167,96.1667,Circuit House
106,Wajir,KE,79.02,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
107,Redlands,US,73.4,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
108,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
109,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Effingham,US,79.0,broken clouds,32.3669,-81.3332,Elizabeth Hobbs
111,Methven,NZ,81.0,broken clouds,-43.6333,171.65,Brinkley Resort
115,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
116,Bethel,US,68.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
117,Poplar Bluff,US,64.0,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
119,La Ligua,CL,66.2,clear sky,-32.4524,-71.2311,Hotel Anchimallen
120,Hermanus,ZA,62.01,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
121,Mazagao,BR,80.6,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
